Frame,FrameDur (secs),MCPS,%SorterCoinLoss,%CpmCoinLoss,%LossError,PromptsMade,PromptsInHisto,SorterBusy,CPM Loss
SINO0000,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0001,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0002,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0003,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0004,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0005,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0006,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0007,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0008,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0009,99.226,12.7998710016,0.0,14.7550420301,90.0762880291,1459207758.0,126039081.0,0.0,215306718.0
SINO0010,98.875,3.61764771681,0.0,0.922026816227,90.1302835955,357688729.0,35303474.0,0.0,3297986.0
SINO0011,98.875,3.61764771681,0.0,0.922026816227,90.1302835955,357688729.0,35303474.0,0.0,3297986.0
SINO0012,98.875,3.61764771681,0.0,0.922026816227,90.1302835955,357688729.0,35303474.0,0.0,3297986.0
SINO0013,98.875,3.61764771681,0.0,0.922026816227,90.1302835955,357688729.0,35303474.0,0.0,3297986.0
SINO0014,98.875,3.61764771681,0.0,0.922026816227,90.1302835955,357688729.0,35303474.0,0.0,3297986.0
SINO0015,98.875,3.61764771681,0.0,0.922026816227,90.1302835955,357688729.0,35303474.0,0.0,3297986.0
